neg_event,event
PersonX does not acquire PersonY interest,PersonX acquires PersonY interest
PersonX does not announce the winners,PersonX announces the winners
PersonX does not bother PersonY,PersonX bothers PersonY
PersonX does not ask PersonX's husband,PersonX asks PersonX's husband
PersonX does not break my foot,PersonX breaks my foot
PersonX does not take PersonY into custody,PersonX takes PersonY into custody
PersonX does not ask PersonY to marry PersonY,PersonX asks PersonY to marry PersonY
PersonX does not understand PersonY's feelings,PersonX understands PersonY's feelings
PersonX does not break up with PersonY's girlfriend,PersonX breaks up with PersonY's girlfriend
PersonX does not stay awake,PersonX stays awake
PersonX does not bring PersonY's umbrella,PersonX brings PersonY's umbrella
PersonX does not ask PersonY's advice,PersonX asks PersonY's advice
PersonX does not burn PersonY,PersonX burns PersonY
PersonX does not take PersonY's money,PersonX takes PersonY's money
PersonX does not ask PersonY's girlfriend,PersonX asks PersonY's girlfriend
PersonX does not buy PersonY's groceries,PersonX buys PersonY's groceries
PersonX does not assume PersonY role,PersonX assumes PersonY role
PersonX does not buy PersonY's own shoes,PersonX buys PersonY's own shoes
PersonX does not buy a gift,PersonX buys a gift
PersonX does not shove PersonY away,PersonX shoves PersonY away
PersonX does not believe PersonY's eyes,PersonX believes PersonY's eyes
PersonX does not buy a new sofa,PersonX buys a new sofa
PersonX does not accompany by PersonY's wife,PersonX accompanies by PersonY's wife
PersonX does not bring PersonY the news,PersonX brings PersonY the news
PersonX does not call PersonX's dog,PersonX calls PersonX's dog
PersonX does not adopt a child,PersonX adopts a child
PersonX does not burst into tears,PersonX bursts into tears
PersonX does not answer the phone,PersonX answers the phone
PersonX does not call PersonY's girlfriend,PersonX calls PersonY's girlfriend
PersonX does not buy a new mattress,PersonX buys a new mattress
PersonX does not tell PersonY not to worry about it,PersonX tells PersonY not to worry about it
PersonX does not ask what was wrong,PersonX asks what was wrong
PersonX does not call PersonY's sister,PersonX calls PersonY's sister
PersonX does not assist PersonY,PersonX assists PersonY
PersonX does not court PersonY,PersonX courts PersonY
PersonX does not buy a new microwave,PersonX buys a new microwave
PersonX does not call a friend,PersonX calls a friend
PersonX does not buy a toy,PersonX buys a toy
PersonX does not conceive a child,PersonX conceives a child
PersonX does not carry out PersonY's work,PersonX carries out PersonY's work
PersonX does not take PersonY to the veterinarian,PersonX takes PersonY to the veterinarian
PersonX does not cover PersonY area,PersonX covers PersonY area
PersonX does not avoid PersonY appearance,PersonX avoids PersonY appearance
PersonX does not catch lots of fish,PersonX catches lots of fish
PersonX does not buy it for PersonY,PersonX buys it for PersonY
PersonX does not cup PersonY's face,PersonX cups PersonY's face
PersonX does not want to get married,PersonX wants to get married
PersonX does not awake PersonY,PersonX awakes PersonY
PersonX does not call PersonY into the office,PersonX calls PersonY into the office
PersonX does not curl up next to PersonY,PersonX curls up next to PersonY
PersonX does not congratulate PersonY,PersonX congratulates PersonY
PersonX does not sit down beside PersonY,PersonX sits down beside PersonY
PersonX does not change PersonY life,PersonX changes PersonY life
PersonX does not call PersonY mother,PersonX calls PersonY mother
PersonX does not cut PersonY's hair herself,PersonX cuts PersonY's hair herself
PersonX does not cook PersonY dinner,PersonX cooks PersonY dinner
PersonX does not change PersonY's tire,PersonX changes PersonY's tire
PersonX does not bake a cake,PersonX bakes a cake
PersonX does not stress PersonY out,PersonX stresses PersonY out
PersonX does not call PersonY names,PersonX calls PersonY names
PersonX does not check PersonY's account,PersonX checks PersonY's account
PersonX does not cut PersonY's hair short,PersonX cuts PersonY's hair short
PersonX does not bake a pie,PersonX bakes a pie
PersonX does not turn the radio,PersonX turns the radio
PersonX does not call PersonY's father,PersonX calls PersonY's father
PersonX does not cheer PersonY on,PersonX cheers PersonY on
PersonX does not create PersonY opportunity,PersonX creates PersonY opportunity
PersonX does not call PersonY's friends,PersonX calls PersonY's friends
PersonX does not take PersonX's first step,PersonX takes PersonX's first step
PersonX does not bear PersonY away,PersonX bears PersonY away
PersonX does not date PersonX's girlfriend,PersonX dates PersonX's girlfriend
PersonX does not decide to help,PersonX decides to help
PersonX does not clap PersonY on the back,PersonX claps PersonY on the back
PersonX does not challenge PersonY's friends,PersonX challenges PersonY's friends
PersonX does not decide to join,PersonX decides to join
PersonX does not beat PersonY,PersonX beats PersonY
PersonX does not decide to try out for the team,PersonX decides to try out for the team
PersonX does not clasp PersonY's hands,PersonX clasps PersonY's hands
PersonX does not begin to laugh,PersonX begins to laugh
PersonX does not change PersonY's dress,PersonX changes PersonY's dress
PersonX does not decide to move to PersonY,PersonX decides to move to PersonY
PersonX does not beg PersonY to come,PersonX begs PersonY to come
PersonX does not discover PersonY,PersonX discovers PersonY
PersonX does not change my mind,PersonX changes my mind
PersonX does not clean the house,PersonX cleans the house
PersonX does not declare war against PersonY,PersonX declares war against PersonY
PersonX does not break PersonY's fall,PersonX breaks PersonY's fall
PersonX does not come home to PersonY,PersonX comes home to PersonY
PersonX does not come close to PersonY,PersonX comes close to PersonY
PersonX does not eat PersonY's sandwich,PersonX eats PersonY's sandwich
PersonX does not decorate PersonY's room,PersonX decorates PersonY's room
PersonX does not break PersonY's phone,PersonX breaks PersonY's phone
PersonX does not want to talk,PersonX wants to talk
PersonX does not contribute to PersonY understanding,PersonX contributes to PersonY understanding
PersonX does not stop PersonY,PersonX stops PersonY
PersonX does not effect PersonY's purpose,PersonX effects PersonY's purpose
PersonX does not die PersonY's hair,PersonX dies PersonY's hair
PersonX does not dance to the music,PersonX dances to the music
PersonX does not crash PersonX's car,PersonX crashes PersonX's car
PersonX does not direct toward PersonY,PersonX directs toward PersonY
PersonX does not decide to go on a date,PersonX decides to go on a date
PersonX does not establish PersonY relationship,PersonX establishes PersonY relationship
PersonX does not speak unto PersonY,PersonX speaks unto PersonY
PersonX does not bury PersonX's dead,PersonX buries PersonX's dead
PersonX does not feel PersonY's fingers,PersonX feels PersonY's fingers
PersonX does not start the fire,PersonX starts the fire
PersonX does not cure PersonY's boredom,PersonX cures PersonY's boredom
PersonX does not decide to not be friends with PersonY anymore,PersonX decides to not be friends with PersonY anymore
PersonX does not donate the money,PersonX donates the money
PersonX does not say PersonY would,PersonX says PersonY would
PersonX does not decide to buy one,PersonX decides to buy one
PersonX does not buy PersonY a drink,PersonX buys PersonY a drink
PersonX does not fight with PersonY,PersonX fights with PersonY
PersonX does not declare war on PersonY,PersonX declares war on PersonY
PersonX does not see a show,PersonX sees a show
PersonX does not drive PersonX there,PersonX drives PersonX there
PersonX does not find PersonY's mother,PersonX finds PersonY's mother
PersonX does not buy PersonY's son,PersonX buys PersonY's son
PersonX does not develop PersonY understanding,PersonX develops PersonY understanding
PersonX does not do not listen to PersonY,PersonX does not listen to PersonY
PersonX does not drive PersonY's car,PersonX drives PersonY's car
PersonX does not find a date,PersonX finds a date
PersonX does not do PersonY's hair,PersonX does PersonY's hair
PersonX does not do something nice for PersonY,PersonX does something nice for PersonY
PersonX does not support PersonX's wife,PersonX supports PersonX's wife
PersonX does not drive down the street,PersonX drives down the street
PersonX does not buy PersonY's ticket,PersonX buys PersonY's ticket
PersonX does not wish PersonY success,PersonX wishes PersonY success
PersonX does not drive PersonY there,PersonX drives PersonY there
PersonX does not drop PersonY's arms,PersonX drops PersonY's arms
PersonX does not drive very fast,PersonX drives very fast
PersonX does not find what PersonY was looking for,PersonX finds what PersonY was looking for
PersonX does not buy a new home,PersonX buys a new home
PersonX does not end PersonY's life,PersonX ends PersonY's life
PersonX does not set PersonY up on a blind date,PersonX sets PersonY up on a blind date
PersonX does not drop PersonY's bag,PersonX drops PersonY's bag
PersonX does not drop PersonY's cell phone,PersonX drops PersonY's cell phone
PersonX does not ease PersonY's mind,PersonX eases PersonY's mind
PersonX does not finish PersonY's hike,PersonX finishes PersonY's hike
PersonX does not run a hand through PersonY's hair,PersonX runs a hand through PersonY's hair
PersonX does not enjoy PersonX's meal,PersonX enjoys PersonX's meal
PersonX does not eat PersonY's breakfast,PersonX eats PersonY's breakfast
PersonX does not explain the situation to PersonY,PersonX explains the situation to PersonY
PersonX does not forget PersonY's list,PersonX forgets PersonY's list
PersonX does not scream with joy,PersonX screams with joy
PersonX does not feel sorry,PersonX feels sorry
PersonX does not enjoy PersonY's time,PersonX enjoys PersonY's time
PersonX does not buy gifts for PersonX's family,PersonX buys gifts for PersonX's family
PersonX does not get PersonY's friends together,PersonX gets PersonY's friends together
PersonX does not rock PersonY's hips,PersonX rocks PersonY's hips
PersonX does not call PersonX's husband,PersonX calls PersonX's husband
PersonX does not get PersonY's picture taken,PersonX gets PersonY's picture taken
PersonX does not fee PersonY's dog,PersonX fees PersonY's dog
PersonX does not feel PersonY's body,PersonX feels PersonY's body
PersonX does not call PersonY back,PersonX calls PersonY back
PersonX does not eat PersonY's food,PersonX eats PersonY's food
PersonX does not fill PersonY's gas tank,PersonX fills PersonY's gas tank
PersonX does not get a date with PersonY,PersonX gets a date with PersonY
PersonX does not call PersonY later,PersonX calls PersonY later
