event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not teach PersonY to sew,"[""learns to sew on their own"", ""wonders why PersonX didn't help"", ""cannot sew"", ""fails class""]","[""Sad"", ""Unsupported"", ""hurt"", ""rejected""]","[""to beg PersonX to help"", ""to watch an online video to learn to sew"", ""none""]","[""unskilled"", ""unhelpful"", ""unthoughtful"", ""inconsiderate""]","[""none"", ""loses student"", ""gets scolded""]","[""To do other things"", ""Y to learn from someone else"", ""to be left alone"", ""to avoid frustration""]","[""none""]","[""Sorry"", ""Less than competent"", ""mean"", ""selfish""]","[""to put the sewing machine away"", ""to lock the closet"", ""find free time"", ""learn how to sew themselves""]",trn,PersonX teaches PersonY to sew
PersonX does not escort PersonY,"[""none"", ""get another escort"", ""travel without PersonX""]","[""abandoned"", ""neglected"", ""unloved"", ""hurt"", ""lonely"", ""self-conscious"", ""independent""]","[""none""]","[""fragrant"", ""forked"", ""lazy"", ""occupied""]","[""he is reprimanded"", ""he loses a friend"", ""get no pay"", ""see Persony travelling without him""]","[""to stay home"", ""to go alone"", ""to go out alone"", ""to respect PersonY's independence""]","[""none""]","[""aloof"", ""uncaring"", ""satisfied"", ""respectful""]","[""to higher postion"", ""to be safe"", ""to see them away"", ""to love them""]",trn,PersonX escorts PersonY
PersonX does not tell PersonY the truth,"[""PersonY is lied to"", ""PersonY is at a disadvantage"", ""none""]","[""happy about what Person X told them"", ""relieved with the facts provided"", ""none""]","[""to ask personX questions"", ""to get away from personX"", ""the truth"", ""to not be close with PersonX"", ""to not trust PersonX"", ""to leave PersonX""]","[""rude"", ""immature"", ""dishonest"", ""deceiving""]","[""PersonX lies to PersonY"", ""PersonX takes advantage of PersonY"", ""lies more to PersonY"", ""faces consequences for lying""]","[""to not hurt their friend's feelings"", ""to avoid a confrontation"", ""to not get in the middle of the conflict"", ""none""]","[""none""]","[""regret that they weren't honest"", ""relieved that the discussion is over"", ""disillusioned"", ""entitled""]","[""to lie to personY"", ""to get away from personY"", ""to come clean on his lies"", ""to say he's sorry""]",trn,PersonX tells PersonY the truth
PersonX is not on vacation in florida,"[""none""]","[""none""]","[""none""]","[""poor"", ""busy"", ""boring"", ""envious""]","[""none""]","[""to save money"", ""stay home"", ""none""]","[""none""]","[""bored"", ""relaxed"", ""dull"", ""tired"", ""anxious""]","[""to be admired"", ""to be considerate"", ""Spend time working"", ""spend time with family""]",trn,PersonX is on vacation in florida
PersonX does not tell PersonY was pregnant,"[""experience PersonX's distance"", ""scold PersonX"", ""none""]","[""respected"", ""trust for PersonX"", ""appreciative that Person X didn't share the news"", ""uncertain""]","[""none"", ""to tell in their own time"", ""to wait to tell""]","[""secretive"", ""choosy"", ""careful"", ""cautious""]","[""retain the current secret"", ""get scolded in the future"", ""none""]","[""to keep the secret"", ""to let PersonY tell it"", ""to respect their privacy"", ""to not cause problems for them""]","[""none"", ""to decide not to tell"", ""to know PersonY""]","[""excited"", ""nervous"", ""worried for their friend"", ""satisfied they were able to keep the secret""]","[""to wait for PersonY to tell"", ""to keep it a secret""]",trn,PersonX tells PersonY was pregnant
PersonX is not at PersonY's grandma's house,"[""none""]","[""worried"", ""lonely"", ""unhappy"", ""ungrateful""]","[""to see PersonX"", ""chat with PersonX"", ""to know where PersonX is"", ""to know why PersonX didn't come""]","[""kind"", ""considerate"", ""rude"", ""inconsiderate""]","[""none""]","[""to avoid family"", ""to not drive far away"", ""to rest at home"", ""to spend time somewhere""]","[""none""]","[""lazy"", ""relieved at not seeing family"", ""worried"", ""unhappy""]","[""to buy a gift"", ""to surprise grandma"", ""go to PersonY's grandma's house"", ""find something else to do""]",trn,PersonX is at PersonY's grandma's house
PersonX is not playing in a basketball game,"[""none""]","[""none""]","[""to correct personx"", ""to tell personx to play nicely"", ""none""]","[""unathletic"", ""bored"", ""unskilled"", ""a spectator"", ""unsure of themselves"", ""not athletic""]","[""none"", ""PersonX is watching a game"", ""PersonX is seated""]","[""not be in the team"", ""to be independent"", ""none""]","[""to get kicked out of the game"", ""to get sent to the bench"", ""none""]","[""relaxed"", ""grateful"", ""happy to watch"", ""good to be on bleachers""]","[""to get back in the game"", ""to apologize to his team""]",trn,PersonX is playing in a basketball game
PersonX does not make PersonY a gift,"[""cries"", ""has no gifts"", ""none""]","[""none"", ""forgotten"", ""unappreciated""]","[""feel discarded by personx"", ""question their friendshpi"", ""forgotten"", ""bad""]","[""thoughtless"", ""stubborn"", ""forgetful"", ""careless""]","[""none"", ""person x buys a gift"", ""person x saves time"", ""person x saves money""]","[""none"", ""buy a gift instead"", ""avoid giving a gift""]","[""decide if making a gift if worth personx's time"", ""question how much it would effect person y"", ""to forget"", ""have days confused""]","[""he should buy it instead"", ""Y doesn't deserve it"", ""unmotivated"", ""guilty""]","[""question if he did the right thing"", ""buy a gift instead"", ""to get y present"", ""tell y sorry""]",trn,PersonX makes PersonY a gift
PersonX does not go to the bar with friends,"[""none""]","[""disappointed"", ""annoyed"", ""offended""]","[""to get drunk"", ""to tell PersonX about it"", ""none""]","[""shy"", ""unsocial"", ""introverted"", ""boring""]","[""none""]","[""to stay home"", ""to remain sober"", ""to stay sober""]","[""none""]","[""bored"", ""disappointing"", ""pleased"", ""proud""]","[""to catch them later"", ""to stay sober"", ""to relax at home""]",trn,PersonX goes to the bar with friends
PersonX does not shave PersonY's hair,"[""none""]","[""appreciaitive"", ""a change of mind"", ""grateful"", ""the same as before""]","[""to find a barber"", ""to get their hair styled"", ""find a barber to cut their hair"", ""just cut their hair themselves""]","[""disinterested"", ""uninvolved"", ""nice"", ""friendly""]","[""none""]","[""the other individual to not regret the decision"", ""to avoid the other indivual being mad at them if they do so"", ""to respect PersonY"", ""to not mess it up""]","[""none"", ""be asked to cut PersonY's hair"", ""have cut hair before and have some experience in doing it""]","[""relieved that they didn't comply with the request"", ""hopeful that Person Y will reconsider the decision"", ""relieved"", ""satisfied""]","[""to attend cosmetology school"", ""to get a razor"", ""tell personY to go to a barber"", ""ask to be paid to cut PersonY's hair instead of doing it for free""]",trn,PersonX shaves PersonY's hair
PersonX does not work nights,"[""none""]","[""none""]","[""none""]","[""thoughtless"", ""kind"", ""sleepy"", ""tired""]","[""none"", ""sleeps at home"", ""watches a movie""]","[""none""]","[""none""]","[""sleepy"", ""tired"", ""grateful for sleep"", ""thankful for a normal time""]","[""work the day shift"", ""have a regular sleep schedule"", ""to have plenty of sleep"", ""to go out with friends""]",trn,PersonX works nights
PersonX does not thank PersonX's mom,"[""none"", ""is resentful of PersonX"", ""doesn't appreciate PersonX""]","[""taken aback"", ""shocked"", ""unappreciated"", ""unloved""]","[""none"", ""to teach PersonX some manners""]","[""mean"", ""uncaring"", ""unappreciative"", ""ungrateful"", ""rude""]","[""none""]","[""to show their disdain"", ""to get back at their mom"", ""to express displeasure"", ""to not take the time""]","[""ask their mom for something"", ""receive a gift"", ""none""]","[""scornful"", ""angry"", ""remorse"", ""like a bad Person""]","[""thank their mom later"", ""reciprocate with a gift""]",trn,PersonX thanks PersonX's mom
PersonX does not invite all PersonY's friends,"[""none""]","[""none"", ""sad"", ""rejected""]","[""to kiss personx"", ""to hold personx"", ""question why friends aren't invited"", ""wonder why no one was invited""]","[""mediocre"", ""defiant"", ""inconsiderate"", ""frugal""]","[""none""]","[""to be selective"", ""to keep the numbers down"", ""wants less people"", ""does not like personY""]","[""none"", ""have a party"", ""go out for lunch""]","[""frugal"", ""selective"", ""relieved"", ""happy""]","[""to be alone with persony"", ""to seduce persony"", ""hangout with person"", ""be alone with person""]",trn,PersonX invites all PersonY's friends
PersonX does not tell PersonY wish,"[""none""]","[""rejected"", ""hurt"", ""thankful"", ""reserved""]","[""their wish granted"", ""a genie"", ""trust PersonX more"", ""show appreciation""]","[""secretive"", ""superstitious"", ""scared"", ""private""]","[""none""]","[""to be secretive"", ""to not get embarrassed"", ""to keep a secret"", ""to show they are to be trusted""]","[""none"", ""have a private conversation"", ""be trusted with a secret""]","[""secretive"", ""relieved"", ""prideful"", ""smug""]","[""to surprise PersonY"", ""to stop PersonY's dream"", ""keep the secret"", ""protect PersonY""]",trn,PersonX tells PersonY wish
PersonX does not board PersonX's plane,"[""none""]","[""none""]","[""none""]","[""frightened"", ""forgetful"", ""predisposed"", ""restrained""]","[""they don't make it on time"", ""none""]","[""to stay home"", ""to drive instead"", ""to not go on a trip""]","[""To search online for travel options"", ""To reserve and purchase ticket"", ""none""]","[""safe"", ""frugal"", ""regret"", ""ambitious""]","[""To look for alternate options"", ""To call the airline and re-book"", ""To stay off of planes"", ""to go home""]",trn,PersonX boards PersonX's plane
PersonX does not celebrate halloween,"[""not invite PersonX to halloween"", ""not give PersonX halloween gifts"", ""none""]","[""none""]","[""none""]","[""reserved"", ""uninterested"", ""unhappy"", ""disappointed""]","[""none""]","[""to not spend money on candy and decorations"", ""to not do things that go against their religious beliefs"", ""stay alone"", ""to avoid celebrations""]","[""none""]","[""faithful"", ""principled"", ""good"", ""relieved""]","[""to stay home and relax"", ""to look forward to the next holiday"", ""relax instead"", ""be alone""]",trn,PersonX celebrates halloween
PersonX is not cleaning PersonY's apartment,"[""none""]","[""none"", ""embarrassed"", ""slothful""]","[""hire different help"", ""clean themselves"", ""clean it themselves"", ""ask someone else for help""]","[""cautious"", ""rude"", ""idle"", ""unaccommodating"", ""unhelpful""]","[""none""]","[""none"", ""PersonY to clean their own apartment"", ""to take the day off""]","[""be invited over"", ""BE HIRED"", ""none""]","[""frustrated that another housecleaner was hired"", ""pressured to find more client"", ""lethargic"", ""annoyed at PersonY""]","[""find a job"", ""find new firends"", ""to help later"", ""clean their own apartment"", ""ignore personY's asking for help""]",trn,PersonX is cleaning PersonY's apartment
PersonX does not do PersonY's work,"[""none"", ""feels overwhelmed"", ""needs help"", ""asks someone else""]","[""ignored"", ""neglected"", ""annoyed"", ""angry""]","[""none""]","[""lazy"", ""sick"", ""honest"", ""not to be taken for granted""]","[""none""]","[""to concentrate on their own work"", ""to get PersonY to take responsibility"", ""to not help"", ""to make them do it""]","[""none"", ""work on his own"", ""look for other works""]","[""stressed"", ""annoyed with PersonY"", ""defiant"", ""proud""]","[""to teach them a lesson"", ""to do their own work"", ""work alone"", ""a different work""]",trn,PersonX does PersonY's work
PersonX does not tie PersonY together,"[""none""]","[""thankful"", ""scared"", ""unbound"", ""free to move""]","[""none""]","[""patient"", ""forbearing"", ""unskilled"", ""uncoordinated""]","[""none""]","[""to let personY go free"", ""to not go to jail"", ""to let them be free"", ""them to have free range of motion""]","[""none""]","[""relieved"", ""merciful"", ""liberal"", ""confident""]","[""to stay alone"", ""to work hard"", ""to be kind"", ""stay inactive""]",trn,PersonX ties PersonY together
PersonX does not try and win,"[""none""]","[""confused"", ""saddened"", ""happy"", ""thankful""]","[""none""]","[""non-competitive"", ""blase"", ""uncaring"", ""uncommitted""]","[""loses the competition"", ""gets laughed at"", ""none""]","[""to be a failure"", ""to be lazy"", ""to lose"", ""to let someone else have victory""]","[""none""]","[""indifferent"", ""disinterested"", ""pleased"", ""proud""]","[""let them win"", ""to give up"", ""leave game"", ""not try""]",trn,PersonX tries and win
PersonX does not set a trap,"[""none""]","[""thankful"", ""happy"", ""none""]","[""none""]","[""forthright"", ""straightforward"", ""honest"", ""grown"", ""humble""]","[""none""]","[""to not hurt anyone"", ""to do something else"", ""to be compassionate"", ""to be fair""]","[""to go on trip"", ""to go arrange the shelter"", ""none""]","[""proud"", ""pleased"", ""evolved"", ""kind""]","[""to eat vegetables only"", ""to take all foods with them"", ""gets justice"", ""regain his reputation""]",trn,PersonX sets a trap
