event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX stops at a store,"[""none""]","[""glad to have bread"", ""none""]","[""none""]",tst,"[""motivated"", ""interested"", ""in need"", ""shopaholic"", ""impatient"", ""eager"", ""hungry""]","[""PersonX is tempted to shop"", ""checks grocery list"", ""they get punched"", ""they get mugged"", ""calls family for requests"", ""PersonX spends more than they expected""]","[""to buy tissues"", ""to get some bread"", ""to buy some groceries""]","[""to need an item"", ""to find a store."", ""to drive"", ""to go out.""]","[""confused about the brand"", ""relieved they remembered"", ""necessary""]","[""to look at the sales."", ""to buy some games."", ""to shop"", ""to pay""]"
PersonX challenges ___ to a basketball game,"[""Gets into scuffles with other players"", ""loses game"", ""becomes tired"", ""sprains ankle playing""]","[""anxious"", ""impressed"", ""enjoyment""]","[""to be competitive"", ""to have fun"", ""to try to win"", ""to play the game""]",tst,"[""athletic"", ""confident"", ""sure"", ""competitive"", ""egoistic""]","[""loses game"", ""Gets sunburned"", ""Gets bumped into while playing"", ""wins game""]","[""to show off their skills"", ""to prove his skills"", ""to play a game""]","[""to find a worthy opponent"", ""to learn to play"", ""to go to the park"", ""to walk up to them""]","[""anxious"", ""talented"", ""having fun""]","[""to be competitive"", ""to have fun"", ""to go home"", ""to try to win""]"
PersonX gets dressed for school,"[""none"", ""wants to make sure they have everything"", ""wants to make sure they get to class""]","[""none""]","[""to hurry PersonX along"", ""to help PersonX get ready""]",tst,"[""ready"", ""prepared"", ""Blooming"", ""eager"", ""Professional""]","[""attends class"", ""They grab their books"", ""is ready for school"", ""want's to stay home"", ""They walk to school"", ""gets on bus""]","[""to wear an outfit they like"", ""to go to school on time"", ""to feel comfortable"", ""to get ready to go to school""]","[""to have breakfast"", ""to take a shower""]","[""satisfied"", ""neutral"", ""ready for the day""]","[""to wait for the bus"", ""to walk out of the house""]"
PersonX refuses to pay,"[""lose money."", ""none"", ""might fire an employee, if the employee was the cause of PersonX's negative experience due to negligence and/or bad behavior"", ""might lose patrons if PersonX writes a poor review about them online"", ""put  systems in place to prevent loss.""]","[""angry"", ""like there what they sold wasn't to a quality of standard for personx"", ""none""]","[""to keep PersonX happy as a customer"", ""report personX to the police"", ""to clarify the situation"", ""beat personX""]",tst,"[""cheap"", ""dissatisfied"", ""stubborn"", ""stingy"", ""irresponsible"", ""angry""]","[""they get to keep the money that they would otherwise have had to pay for a product or service"", ""none"", ""loses respect."", ""may write a poor review regarding a particular business and their experience"", ""keeps money.""]","[""to prove a point"", ""to save their money"", ""to show disgruntlement with the product""]","[""get to the point of checking out"", ""to document failure of product or service"", ""to get a service that cost something"", ""to speak to a manager"", ""to get a detailed list of charges""]","[""satisfied"", ""frustrated"", ""like their money has value more than what they received""]","[""run away"", ""quarrel"", ""to leave the situation"", ""to get their item for free""]"
PersonX gives ___ a name,"[""none""]","[""none""]","[""He ran away."", ""none"", ""He washed it off.""]",tst,"[""in charge"", ""commanding"", ""in control"", ""dominant""]","[""PersonX regrets the choice"", ""PersonX can't shake the nickname"", ""PersonX thinks long and hard about a meaningful name for her pet dog"", ""PersonX becomes obsessed with Scandinavian names""]","[""their new pet to known by something"", ""to feel connected"", ""to distinguish between objects in their collection"", ""to be creative""]","[""decide on a name"", ""He landed in poop."", ""consider different names"", ""He threw him the ball.""]","[""organized"", ""successful"", ""good about themselves""]","[""make the name official"", ""Everyone laughed."", ""Told him his new name is turd down."", ""tell people the chosen name""]"
PersonX sits across,"[""catches their balance"", ""none"", ""punching person""]","[""annoyed about his behaviour"", ""none""]","[""to get away"", ""none"", ""to converse"", ""to tell a story"", ""make a friend""]",tst,"[""tired"", ""thoughtful"", ""friendly"", ""present"", ""engaged"", ""social""]","[""none"", ""muscles tiredness"", ""the bench and takes a nap"", ""body exercise"", ""the chairs and sleeps""]","[""to prevent his entry"", ""to avoid confrontation""]","[""to walk somewhere"", ""a chair"", ""listens to the story"", ""a couch"", ""looks at someone"", ""to sit down""]","[""anxious""]","[""to talk"", ""to leave"", ""to gain knowledge"", ""to converse"", ""to eat"", ""to become a better listener""]"
PersonX pierces PersonX's ears,"[""none""]","[""none""]","[""none""]",tst,"[""determined"", ""hurt"", ""confident"", ""daring"", ""fashionable"", ""skilled""]","[""has pierced ears"", ""winces"", ""bleeds"", ""ears bleed for a bit""]","[""to be like everyone else"", ""to wear earrings"", ""to show off"", ""they wanted to wear earrings.""]","[""get a needle ready"", ""to buy a piercing gun"", ""to  buy earings"", ""to go to a store that does piercing"", ""clean the ear lobes"", ""go to the doctor""]","[""pain"", ""numb"", ""satisfied"", ""sore"", ""happy"", ""accomplished""]","[""to buy earings."", ""to get photgraphed"", ""to apply cream on it"", ""to put on his earings.""]"
PersonX finally got back,"[""none""]","[""annoyed that x didn't get there sooner""]","[""none"", ""to stop worrying about personx"", ""to do something else""]",tst,"[""Over it"", ""patient"", ""little"", ""strong"", ""Done"", ""relieved""]","[""sighs with relief"", ""gets hugged"", ""smiles with joy"", ""asked questions""]","[""none""]","[""to head back"", ""to be gone someplace"", ""to be lost in a new city"", ""to be stuck in the snow"", ""to have gone hunting"", ""to go somewhere"", ""to not waste their time""]","[""like everyone thinks he is late""]","[""to eat and drink something"", ""to eat something"", ""to rest"", ""to take a break"", ""to relax"", ""to take a bath"", ""to move on to the next thing""]"
PersonX gives PersonY opinion,"[""persony looks surprised"", ""smiles or frowns depending on the opinion PersonX gave to them"", ""person y thanks personx"", ""shakes PersonX's hand"", ""PersonY now knows PersonX's opinion about something""]","[""none""]","[""to say what they think"", ""to listen to PersonX"", ""respond"", ""give their own opinion"", ""to argue with PersonX"", ""to think about the opinion""]",tst,"[""bossy"", ""educated"", ""confident"", ""knowledgable"", ""opinionated"", ""pushy""]","[""smiled at if the opinion was positive"", ""none"", ""yelled at if the opinion was negative""]","[""to because good""]","[""to make a decision"", ""to talk to PersonY"", ""contact someone to give the opinion to"", ""to approach PersonY"", ""to know their opinion"", ""to consider the arguments"", ""to think about their opinion"", ""develop opinion"", ""to have someone to tell it too""]","[""good""]","[""to argue"", ""to see what they think"", ""to part ways"", ""to convince PersonY"", ""receive feedback"", ""for the opinion to be accepted"", ""answer questions""]"
PersonX plans PersonX's trip,"[""none""]","[""none"", ""informed""]","[""to join him"", ""none"", ""to tell him what to do there""]",tst,"[""thorough"", ""helpful"", ""capable"", ""thoughtful"", ""eager"", ""disgusted"", ""careful""]","[""PersonX takes a trip"", ""none"", ""PersonX   pays for the trip""]","[""to go on vacation"", ""to be exciting"", ""to travel"", ""to go somewhere"", ""fill someone in"", ""to take a vacation""]","[""to do the research"", ""none"", ""to know where to go"", ""figure out where they want to go"", ""have a car""]","[""excited about the trip"", ""thrilled"", ""world-enriched"", ""relaxed"", ""excited"", ""happy""]","[""to relax his mind"", ""to decide things to pack"", ""to enjoy his vacation"", ""go on the trip"", ""to go on the trip"", ""get prepared""]"
PersonX sifts out ___,"[""none""]","[""none""]","[""none""]",tst,"[""confused"", ""studious"", ""crafty"", ""unsucess"", ""artistic"", ""curious"", ""methodical"", ""skilled""]","[""none"", ""accepts the good ones"", ""to sifts to cell"", ""discards the poor ones"", ""to go program""]","[""separate things."", ""to separate out something valuable""]","[""have a bad experience"", ""to have something that needs to be sorted"", ""to know how to do it"", ""find a stream"", ""get a sifting pan"", ""look through items""]","[""expectant to find something"", ""satisfied.""]","[""find the good ones"", ""write a report"", ""to gather the gold"", ""to take a break"", ""to sift more"", ""to search for gold flecks""]"
PersonX finds a good spot,"[""none""]","[""none""]","[""to enter the event"", ""none"", ""to exit the car""]",tst,"[""contented"", ""smart"", ""clever"", ""resourceful"", ""comfortable"", ""observant"", ""efficient""]","[""gains a spot"", ""sighs in contentment"", ""falls asleep"", ""is able to relax""]","[""a good spot""]","[""get up"", ""to test areas with his foot"", ""walk around"", ""to know what they want"", ""to look for what they want"", ""to move around""]","[""happy""]","[""to enter the event"", ""take a nap"", ""to park the car"", ""to sit down"", ""to lie down""]"
PersonX blows PersonY's mind,"[""Experiences shock"", ""Struggles at first to comprehebd, thoughts race"", ""recoils"", ""shouts""]","[""impressed"", ""amazed"", ""anxious"", ""surprised""]","[""to wonder what PersonX is doing"", ""She tries to kiss him."", ""to ask PersonX questions"", ""She puts dollars in his shirt."", ""to imitate X"", ""to be X""]",tst,"[""amazing"", ""imaginative"", ""incredible"", ""shocking"", ""mindblowing"", ""talented"", ""impressionable""]","[""is not believed"", ""Creates awe"", ""sees an expression"", ""Has an impact""]","[""none"", ""to impressed persony"", ""to impress"", ""to show knowledge""]","[""to walk to PersonY"", ""none"", ""to get PersonY's attention""]","[""smart"", ""knowledgeable"", ""cool"", ""satisfied"", ""happy""]","[""to talk to Y"", ""He shows her more dance moves."", ""Gets really close to her."", ""to learn more"", ""to answer PersonY's questions"", ""to surprise PersonY""]"
PersonX gets a tan,"[""none""]","[""none""]","[""none""]",tst,"[""motivated"", ""attractive"", ""brave"", ""outdoorsy""]","[""gets skin cancer."", ""PersonX forgets their sunscreen"", ""PersonX spends the day at the beach"", ""is dehydrated."", ""gets complimented"", ""gets melanoma""]","[""enjoy the sun"", ""look ideal"", ""to look good""]","[""expose body to the sun"", ""to be out door"", ""to put on suntan lotion"", ""remove his clothing"", ""lay on beach"", ""to go outside""]","[""happy that they are tan"", ""prettier""]","[""look in a mirror at the tan"", ""avoid going out in sun"", ""leave the beach"", ""to do a facial"", ""take a shower""]"
PersonX starts early in the morning,"[""none""]","[""none""]","[""none""]",tst,"[""well rested"", ""exhausted"", ""dedicated"", ""awake"", ""regimented"", ""eager""]","[""wakes up partner"", ""sleeps earlier"", ""falls asleep early"", ""startled"", ""woken"", ""accomplishes more""]","[""get work done."", ""to get somewhere on time.""]","[""to wake up early"", ""to get ready quickly"", ""to set an alarm"", ""set their alarm clock"", ""get a good night's sleep""]","[""tired from not getting enough sleep."", ""accomplished""]","[""get some chores completed"", ""to have a great day"", ""to be productive"", ""to start something new"", ""get a cup of coffee"", ""to get it done with""]"
PersonX starts to worry,"[""none""]","[""nervous"", ""none"", ""afraid""]","[""to talk to personX"", ""none"", ""to turn on news""]",tst,"[""anxious"", ""worried"", ""scared"", ""harried"", ""fearful""]","[""makes self sick"", ""over thinks situation"", ""begins to sweat"", ""has a heart attack""]","[""none""]","[""none"", ""to call friends"", ""to watch live news""]","[""anxious"", ""depressed"", ""cautious"", ""scared"", ""nervous"", ""lost""]","[""to talk to friends"", ""to put their mind on other things"", ""to grip phone tightly"", ""to relax""]"
PersonX lights another ___,"[""none""]","[""none"", ""happy to be more warmer""]","[""none""]",tst,"[""dependent"", ""smoker"", ""efficient"", ""indulgent"", ""addicted""]","[""dies of cancer"", ""lungs fail""]","[""to burn something"", ""to get more warmer to beat the cold"", ""to smoke something""]","[""to pick up a cigarette"", ""to open the box"", ""none"", ""to turn on a lighter"", ""to pull out a match""]","[""accomplished"", ""very adventurous and happy""]","[""to put out the cigarette"", ""to start a fire"", ""to get warm"", ""heat"", ""to smoke""]"
