event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX rarely makes contact with PersonY,"[""get a work done"", ""none""]","[""none"", ""Rejected"", ""Ostracized""]","[""none"", ""to see personx"", ""stop brushing them off""]","[""Unsociable"", ""Shy"", ""distant"", ""shy""]","[""get a work done"", ""loses friend"", ""gets yelled at"", ""Loses friendship"", ""Thinks of visiting""]","[""none"", ""To keep a distance from personY"", ""To end their friendship with personY""]","[""to get work done"", ""none""]","[""sad"", ""unhappy"", ""lonely"", ""Free and unburdened"", ""Happy and content""]","[""to get work done"", ""to look for them"", ""to visit them"", ""to keep it that way"", ""not be around them""]",tst,PersonX makes contact with PersonY,rarely,single_word
PersonX not at all goes from zero to hero,"[""none""]","[""thankful"", ""safe"", ""none""]","[""none""]","[""unheroic"", ""timid""]","[""none"", ""get a work done"", ""he not like in acting"", ""he have other work in home""]","[""to be helpful"", ""to save"", ""none""]","[""none""]","[""appreciated"", ""strong"", ""ordinary"", ""typical"", ""disappointed"", ""hopeless""]","[""to do good"", ""to be inspiring"", ""to process their feelings of inadequacy"", ""to improve their abilities"", ""to shine"", ""to improve the skills""]",tst,PersonX goes from zero to hero,not at all,multi_word
PersonX rarely puts the phone away,"[""none"", ""get a work done""]","[""none""]","[""none""]","[""disorganized"", ""sloppy"", ""busy"", ""talkative""]","[""none"", ""looks for the phone"", ""wonders where the phone is""]","[""none"", ""to text"", ""to play games""]","[""none"", ""to hold on the phone"", ""to carry the phone""]","[""busy"", ""entertained"", ""interested"", ""content""]","[""to call"", ""to chat always"", ""to set a reminder to put away phone"", ""to try and remember to charge phone each night"", ""to call someone"", ""to talk and listen""]",tst,PersonX puts the phone away,rarely,single_word
PersonX has a lack of a wonderful time,"[""none""]","[""none""]","[""none""]","[""boring"", ""dull"", ""bored"", ""unhappy""]","[""plan for a meeting"", ""none"", ""tries to have fun"", ""makes up for the bad time""]","[""none""]","[""none"", ""plan for an event"", ""arrive at the place""]","[""bored"", ""unhappy"", ""sad"", ""unsatisfied""]","[""to find friends"", ""to find a fun sport"", ""to participate in a different activity"", ""to tell others about their poor time"", ""to go home"", ""find something fun to do""]",tst,PersonX has a wonderful time,a lack of,multi_word
PersonX meets nobody,"[""none""]","[""none""]","[""none""]","[""shy"", ""introverted"", ""a recluse"", ""a responsible social-distancer""]","[""none"", ""loses friend"", ""cries"", ""is lonely"", ""lives by themselves""]","[""none""]","[""to not go on date"", ""not go to party"", ""none""]","[""lonely"", ""sad"", ""bored"", ""isolated""]","[""exercise at home"", ""watch TV"", ""to get work done"", ""to change that"", ""meet more people""]",tst,PersonX meets someone,nobody,single_word
PersonX is on no condition a quick learner,"[""to learn"", ""get a work done"", ""none""]","[""none""]","[""none""]","[""slow to learn"", ""uninterested in the subject"", ""slow"", ""methodical""]","[""get a work done"", ""none"", ""offered lousy job"", ""goes broke""]","[""none""]","[""none"", ""be slow to learn"", ""be presented infiormation"", ""to learn of a mental disability"", ""to go to school""]","[""slow"", ""lazy"", ""not smart"", ""challenged"", ""achieved"", ""learned""]","[""to study at home"", ""to go to special school"", ""try to learn"", ""spend more time studying"", ""to get a tutor"", ""to talk to his school""]",tst,PersonX is a quick learner,on no condition,multi_word
PersonX halts preheating the oven,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""cautious"", ""doubtful"", ""too hot"", ""unsure about cooking""]","[""get a work done"", ""thinks about putting food inside the oven"", ""becomes concerned"", ""lets themselves down""]","[""none"", ""to run to the store"", ""to answer the phone""]","[""none"", ""start preheating the oven"", ""wait for the oven to warm up""]","[""changing his mind"", ""tired"", ""worth"", ""helpful"", ""impatient"", ""annoyed""]","[""to cook something else"", ""to put off cooking"", ""continue with preheating"", ""cook something"", ""to heat the cake"", ""to heat the water""]",tst,PersonX preheats the oven,halt,verb
PersonX in no way makes lemonade,"[""get a money"", ""none""]","[""none""]","[""none""]","[""unskilled"", ""unprepared"", ""not thirsty"", ""lazy""]","[""get a money"", ""none"", ""gets thirsty"", ""becomes dehydrated""]","[""get a money"", ""none"", ""to drink water"", ""to drink soda""]","[""none""]","[""get a money"", ""bored"", ""tired"", ""content"", ""quenched""]","[""to get work done"", ""to have a beer"", ""to buy lemonade from kids"", ""limeade"", ""A different drink""]",tst,PersonX makes lemonade,in no way,multi_word
PersonX by no means smiles happily,"[""none"", ""to go to work well""]","[""none""]","[""none""]","[""dour"", ""mean-spirited"", ""joyless"", ""grumpy""]","[""none"", ""cry"", ""get angry""]","[""none""]","[""none""]","[""unhappy"", ""sad"", ""happy"", ""joyful"", ""grumpy"", ""irritated""]","[""to be happy"", ""to show off their teeth"", ""to cry"", ""to show emotion"", ""to think about why they're sad"", ""to watch a funny video""]",tst,PersonX smiles happily,by no means,multi_word
PersonX not at all leans back in PersonY's chair,"[""none"", ""get a work done"", ""to play""]","[""none"", ""secured"", ""safe""]","[""made money"", ""to good"", ""none""]","[""respectful of persony's property"", ""careful of their posture"", ""rigid"", ""professional""]","[""none"", ""get a work done"", ""avoids injury"", ""avoids being reprimanded""]","[""none"", ""sit up straight"", ""to sit on the couch""]","[""to get work done"", ""none"", ""come into their office"", ""sit down""]","[""afraid"", ""scared"", ""stiff"", ""strong"", ""sore"", ""relaxed""]","[""to get work doneto get work done"", ""to get work done"", ""to be careful"", ""to to be kind"", ""to use the computer"", ""to ask for a meeting""]",tst,PersonX leans back in PersonY's chair,not at all,multi_word
PersonX disjoins the swim team,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""depressed"", ""hateful"", ""unathletic"", ""lazy""]","[""get a work done"", ""none"", ""goes for baseball"", ""quits all the team""]","[""none"", ""some time back"", ""to do something else"", ""to quit""]","[""not enjoy swimming"", ""not like team"", ""none""]","[""tired"", ""bored"", ""unprofessional"", ""bashful"", ""unsure"", ""nervous"", ""shy""]","[""join a different sport team"", ""to never swim again"", ""to get work done"", ""to do other things"", ""enjoy life""]",tst,PersonX joins the swim team,disjoin,affixes_verb
PersonX is rarely in a good mood,"[""none"", ""gets attacked"", ""gets argued with""]","[""none"", ""wary"", ""standoffish""]","[""none""]","[""taciturn"", ""unemotional"", ""unhappy"", ""depressed""]","[""scowls"", ""cries"", ""none"", ""gets in a fight"", ""is confronted""]","[""none""]","[""none"", ""to be in a bad mood"", ""to let his mood be known""]","[""worried"", ""unhappy"", ""grumpy"", ""angry"", ""resentful"", ""pissed off""]","[""to do things that make them happier"", ""to tell others they are sorry for being so cranky"", ""to get excited"", ""to be pleased"", ""to be happier"", ""watch something happy on tv""]",tst,PersonX is in a good mood,rarely,single_word
PersonX avoids making the cookies,"[""none""]","[""none""]","[""none""]","[""lazy"", ""busy"", ""smart"", ""cunning""]","[""none"", ""get a work done"", ""stresses that he doesn't know how to cook"", ""thinks his mom will cook for him""]","[""to be lazy"", ""to eat something healthier"", ""none"", ""to be healthy"", ""to eat something filling""]","[""none""]","[""healthy"", ""lazy"", ""tired"", ""like buying bread"", ""unhealthy"", ""fat""]","[""to have partner make the cookies instead"", ""to make brownies instead"", ""to avoid making them"", ""to be lazy"", ""to tell parents to make the cookies"", ""to not eat any more sugar""]",tst,PersonX makes the cookies,avoid,verb
PersonX under no circumstances retains PersonX's position,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""remorseful"", ""ashamed""]","[""get a work done"", ""none"", ""gets fired"", ""loses money""]","[""none"", ""to quit"", ""to leave"", ""to avoid an argument"", ""to go unnoticed""]","[""none"", ""to get work done""]","[""glad"", ""relieved"", ""shy"", ""nervous""]","[""to get promoted"", ""to get beer earning"", ""to get work done"", ""to ask boss why they were let go"", ""to find a different job""]",tst,PersonX retains PersonX's position,under no circumstances,multi_word
PersonX barely ever reassures PersonY,"[""Y loses confidence"", ""Y fails"", ""to play"", ""to sleep"", ""cries"", ""loses a friend""]","[""none"", ""unloved"", ""alone""]","[""receive reassurance"", ""receive and explanation"", ""Not reassured"", ""Not confident"", ""none""]","[""apathetic"", ""cold"", ""selfish"", ""lazy""]","[""none"", ""plan to get a work"", ""loses a friend"", ""is confronted""]","[""none"", ""nothing to do with PersonY"", ""PersonY to comfort themself""]","[""reassure personY once in awhile"", ""be unreliable"", ""none""]","[""mean"", ""unconcerned"", ""unnkind"", ""uncaring"", ""indifferent""]","[""reassure personY"", ""encourage personY to be more independent"", ""To not do it"", ""Keep it up"", ""to learn to be more empathetic"", ""to try harder to be kind""]",tst,PersonX reassures PersonY,barely ever,multi_word
PersonX barely looks angry,"[""none""]","[""none""]","[""none""]","[""easy-going"", ""unemotional"", ""even tempered"", ""calm""]","[""none"", ""get a work done"", ""smiles"", ""is accepted more""]","[""none""]","[""to get work done"", ""to keep a straight face"", ""to not frown"", ""to be annoyed"", ""to have a bad experience""]","[""happy"", ""excited"", ""indifferent"", ""like a good person"", ""peaceful""]","[""to get work done"", ""to cheer up"", ""to solve a conflict"", ""to hold their tongue"", ""to calm down""]",tst,PersonX looks angry,barely,single_word
PersonX has little nice dinners,"[""none""]","[""none"", ""grateful"", ""happy to be included""]","[""none""]","[""passionate"", ""festive"", ""curteous"", ""kind""]","[""plan for a meeting"", ""becomes full"", ""becomes satisfied"", ""wants breakfast"", ""goes grocery shopping""]","[""none"", ""to provide for their family"", ""to get together with friends"", ""to eat well"", ""to enjoy meal times""]","[""to prepare the food"", ""to set the table"", ""to buy food"", ""to prepare food"", ""none""]","[""fully"", ""happy"", ""proud of themselvesq"", ""popular"", ""full"", ""satisfied"", ""accomplished""]","[""cleans up the kitchen"", ""puts the food away"", ""to clean dishes"", ""to put leftovers away"", ""to be happy"", ""enjoy the little things""]",tst,PersonX has a nice dinner,little,single_word
PersonX is in no way hard to find,"[""plan for a meeting"", ""none""]","[""none""]","[""none"", ""talk to personY"", ""rely on personY""]","[""Visible"", ""Transparent"", ""Simple minded"", ""predictable"", ""stationary""]","[""plan for a meeting"", ""none"", ""Is found"", ""is confronted""]","[""none""]","[""keep the same address"", ""keep the same job"", ""be available"", ""be seen"", ""none""]","[""available"", ""careful"", ""easy"", ""active"", ""ready to meet""]","[""to stay easy to locate"", ""keep contact info remain public"", ""have more privacy"", ""be around others"", ""to make themselves available"", ""to try to hide""]",tst,PersonX is hard to find,in no way,multi_word
PersonX looks like nothing,"[""none""]","[""none""]","[""none""]","[""uncharacteristic"", ""bland"", ""unique"", ""weird""]","[""get a work done"", ""none""]","[""none""]","[""none""]","[""invisible"", ""slobby"", ""unseen"", ""sad"", ""unhappy"", ""small"", ""insignificant""]","[""Not look like"", ""Be nothing"", ""to spend time exercising"", ""to tell others their worth"", ""to get advice"", ""to get a makeover""]",tst,PersonX looks like something,nothing,single_word
PersonX ceases burning PersonX's arm,"[""none"", ""stay ar"", ""arm well"", ""cry"", ""jumps in shock""]","[""none"", ""hurt"", ""thankful""]","[""none"", ""to help person x"", ""to take care of person x""]","[""smart"", ""learned"", ""turning over a new leaf"", ""willing to change""]","[""needs to search for psychological help"", ""wonders if they are suicidal"", ""get a work done"", ""make arm"", ""screams"", ""yelled""]","[""none"", ""doesn't want to hurt any longer"", ""is too hurt"", ""to cause pain"", ""to give them a brand""]","[""none"", ""start burning their arm"", ""have fire available"", ""to get into the fire"", ""to keep the hands in the fire""]","[""careful"", ""merciful"", ""in pain"", ""relieved"", ""Strong"", ""just""]","[""to keep from ruining skin"", ""blow out the fire"", ""put something cold on the burn"", ""put the fire out"", ""to visit the doctor"", ""to take rest""]",tst,PersonX burns PersonX's arm,cease,verb
