event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX is shopping at a sporting goods store,tst,"[""determined"", ""athletic"", ""sporty""]","[""Asked if they need assistance"", ""Guided to the correct products"", ""purchases a football"", ""browses the camping equipment""]","[""none""]",,,"[""to select a shoe"", ""to pay the bill"", ""make some relief"", ""fun at everywhere""]","[""none""]",,"[""to buy shoes"", ""to find a store"", ""go to the store"", ""play for fun""]",PersonX is grocery shopping
PersonX passes PersonX's classes,tst,"[""educated"", ""smart"", ""studious"", ""hard working""]","[""gets invited to graduation"", ""gets handed their diploma"", ""gets certification"", ""graduates""]","[""none""]",,,"[""to celebrate passing"", ""tell someone they passed their classes"", ""to look out"", ""to be safe"", ""to graduate from college"", ""to always get good grades in classes""]","[""none""]",,"[""to do well on all assignments/tests"", ""study for tests"", ""have good attendance"", ""none""]",PersonX fails PersonX's classes
PersonX wears snow boots.,tst,"[""responsible"", ""dutiful"", ""prepared"", ""ready""]","[""feel comfortable"", ""play in the snow"", ""snow does not touch X's socks"", ""X's pant legs remain dry""]","[""none""]",,,"[""to come back inside"", ""to remove the snow boots"", ""plan to meet person""]","[""none""]",,"[""to buy snow boots"", ""to put on the snow boots"", ""plan to meet person"", ""plan to meet person well""]",PersonX wears sandals
PersonX decides to fast,tst,"[""decisive"", ""ready for it"", ""disciplined"", ""acetic""]","[""They lose weight"", ""They get hungry"", ""goes to fast"", ""hurts self""]","[""none"", ""They get hit"", ""they get hurt""]","[""happy about the change in weight"", ""Worried about gaining weight back"", ""weak"", ""proud of themselves for trying it"", ""better"", ""like they can eat again""]","[""none""]","[""get food"", ""eat"", ""to ride uncontrolled"", ""to make accident"", ""prays hard"", ""gets to be holy""]","[""none""]","[""to lose weight"", ""to see a change"", ""to try it"", ""to starve"", ""to learn how it feels"", ""doing it for religious reasons""]","[""none""]",PersonX buys a snack
PersonX replaces the engine,tst,"[""skilled"", ""talented"", ""strong"", ""happy with themselves""]","[""jumps in excitement"", ""gain knowledge about it"", ""gets charged for the engine"", ""gets their car back from the shop""]","[""none""]",,,"[""to test the engine"", ""to buy a new car"", ""to close the car"", ""drive away""]","[""none""]",,"[""to look at the engine"", ""to buy parts"", ""to open the car"", ""check the engine""]",PersonX replaces the tire
PersonX has the most horrible dinner ever.,tst,"[""incapable"", ""unlucky"", ""hungry"", ""angry""]","[""avoids that restaurant"", ""avoids that meal"", ""throws up"", ""has a lot of leftover""]","[""none""]",,,"[""excuse themself from meal"", ""find a new meal"", ""to vomit"", ""to complain about how awful the meal was""]","[""none""]",,"[""be in a situation to eat"", ""choose dinner to eat"", ""to sit down at the dinner table"", ""to eat the meal""]",PersonX has a nice dinner
PersonX is hopeful,tst,"[""reassured"", ""faithful"", ""brave"", ""adventurous""]","[""remains resolute in the face of conflict"", ""gains confidence"", ""none""]","[""none""]",,,"[""keep hoping"", ""loss hope"", ""to be safe"", ""to good""]","[""none""]",,"[""has done something"", ""have a backup"", ""none""]",PersonX has a bad feeling
PersonX stays out,tst,"[""carefree"", ""happy"", ""irresponsible"", ""undisciplined""]","[""person x likes to travel"", ""person x likes to move on"", ""person wants to become gypsy"", ""Invited back in by friends"", ""Begged to rejoin them""]","[""none""]",,,"[""to spend the rest of the night partying"", ""to ask friends to come out with them"", ""to go dancing"", ""to find a date""]","[""none""]",,"[""none""]",PersonX romps home
Person X leaves PersonY's home.,tst,"[""departed"", ""exiting"", ""occupied"", ""helpful""]","[""returns home"", ""goes away"", ""none""]","[""relaxes"", ""says goodbye"", ""none""]","[""purposeful"", ""nostalgic"", ""rushed"", ""sad"", ""rested"", ""peaceful""]","[""sad"", ""excited about the future"", ""longing"", ""lonely"", ""alone"", ""destressed""]","[""to go back to home"", ""to sleep"", ""goes to  town"", ""goes to buy some groceries"", ""go home"", ""go meet with some friends""]","[""none"", ""to close the door after personX leaves"", ""wants to do some work once personX has gone""]","[""to go home"", ""to go to the store"", ""to go to work"", ""to get to work"", ""to get away from persony"", ""to go home and rest"", ""to avoid friction""]","[""to get into the car"", ""to pick up person y"", ""none"", ""call a taxi to pick him"", ""say goodbye to personY""]",PersonX comes to PersonY's house
PersonX cant drive,tst,"[""helpless"", ""clueless"", ""unskilled"", ""green""]","[""fall sick"", ""broken hands"", ""is taught to drive"", ""is driven places by someone else""]","[""none""]",,,"[""to ask help"", ""learn driving"", ""learn to drive"", ""take a lesson""]","[""none""]",,"[""none""]",PersonX moves PersonY's car
PersonX ignores PersonY's daughter,tst,"[""ill-mannered"", ""discourteous"", ""rude"", ""unfriendly""]","[""none"", ""is reminded of the daughter"", ""walks away from them""]","[""none""]",,,"[""to avoid person Y's family"", ""to be alone"", ""feel"", ""relaxed""]","[""to talk to person X"", ""to greet person X"", ""none""]",,"[""none""]",PersonX tells PersonY's daughter
PersonY sits on PersonX's lap,tst,"[""friendly"", ""amorous"", ""working"", ""resourceful""]","[""has a lap sit"", ""is attached"", ""gets aroused"", ""heartbeat races""]","[""none"", ""gets aroused"", ""sweats profusely""]",,,"[""to push them off"", ""to hug them"", ""to shift themselves to be comfortable"", ""to comfort PersonY""]","[""to talk to PersonX"", ""to snuggle"", ""to be comforted""]",,"[""none""]",PersonX sits on PersonY's lap
PersonX eats PersonY's skin,tst,"[""gross"", ""dangerous"", ""cannibalistic"", ""violent""]","[""gets sent to jail"", ""gets the death penalty"", ""are full"", ""have more skin""]","[""gets hurt"", ""dies"", ""none""]",,,"[""to hide from the police"", ""to torture PersonY"", ""to find another victim"", ""wants to eat someone else's skin""]","[""to scream"", ""to call the police"", ""none""]",,"[""to be psychotic"", ""to have kidnapped PersonY"", ""to be a murderer"", ""to have killed PersonY""]",PersonX touches PersonY's skin
PersonX is born.,tst,"[""naive"", ""inexperienced"", ""birthed"", ""created""]","[""wears a diaper"", ""sleeps"", ""comes to life"", ""is bornt""]","[""recovers from childbirth"", ""pays the hospital bill"", ""none""]","[""Confused"", ""Wet"", ""confused"", ""scared"", ""like crying"", ""sad, the womb was easier""]","[""Exhausted"", ""Stretched"", ""happy for the birth of their child"", ""in awe at the birth"", ""joyful"", ""stressed""]","[""cries at first"", ""smiles after a clean"", ""to grow up"", ""to go home"", ""to be very gentle with all"", ""being positive""]","[""none"", ""to rest"", ""to go home""]","[""none""]","[""none""]",PersonX draws PersonX's last breath
PersonX is too shy to sing,tst,"[""timid"", ""frightened"", ""meek"", ""shy"", ""scared"", ""afraid""]","[""are not noticed"", ""regret their choice"", ""trains hard"", ""quits the competition""]","[""none""]",,,"[""to hide in the corder"", ""to avoid shame"", ""get away"", ""convince someone else to sing""]","[""none""]",,"[""none""]",PersonX practices singing
PersonX picks PersonY up.,tst,"[""caring"", ""helpful"", ""strong""]","[""gets sore muscles"", ""gets yelled at"", ""gets thanked"", ""gets compensation""]","[""none"", ""is asked to pay"", ""is conversed with""]",,,"[""to pull persony back up"", ""to clean persony clothes using his/her hand"", ""to help person y"", ""to take person y to doctor""]","[""to thank personx"", ""to feel embarrassed"", ""none""]",,"[""to notice persony on the ground"", ""to go towards persony"", ""to see person y"", ""to touch person y""]",PersonX knocks PersonY over
PersonX hats dogs,tst,"[""solitary"", ""allergic"", ""not a real person"", ""afraid of dogs""]","[""none"", ""is kept away from canines"", ""is given a cat""]","[""none""]",,,"[""to give their dog away"", ""to ask if they can get a cat instead"", ""to put the hat"", ""to feel happy""]","[""none""]",,"[""none"", ""to like dogs"", ""to design a hat""]",PersonX hats cats
PersonX is calm,tst,"[""relaxed"", ""restful"", ""serene"", ""unperturbed"", ""steady"", ""sure of themselves""]","[""person x wants to live peace"", ""person x make love with everyone"", ""person x never hates people"", ""person x loves to be calm and it must be a joy to him"", ""none"", ""falls asleep"", ""gets refreshed""]","[""They loves person x"", ""They praise upon person x's habits"", ""none""]",,,"[""to keep others as calm as they are"", ""to make sure they dont make any emotional decisions"", ""spend time alone"", ""relax"", ""to be polite"", ""to be kind"", ""silent"", ""talk to clam""]","[""none""]",,"[""none"", ""to meditate"", ""to do yoga""]",PersonX has a fit
PersonX leaves PersonY's ears alone,tst,"[""considerate"", ""sensitive"", ""considerant"", ""thoughtful""]","[""is talked to"", ""is thanked"", ""none""]","[""none""]",,,"[""to inquire about PersonY's health"", ""call an ambulance for PersonY"", ""to sneak up on personY"", ""to surprise personY""]","[""to get a cotton ball"", ""to use a hot water compress"", ""to get away from personX"", ""to avoid personX""]",,"[""none"", ""to know personY"", ""to be near personY""]",PersonX pierces PersonY's ears
PersonX tips PersonY's leg,tst,"[""unkind"", ""disagreeable"", ""mischievous"", ""playful""]","[""they are hit by y"", ""y moves away from them"", ""apologizes"", ""massages the leg""]","[""they are startled"", ""they lose their balance"", ""y cries in pain"", ""y hits X""]",,,"[""to send PersonY out"", ""to set up a new appointment"", ""say sorry"", ""massage the leg""]","[""to pay PersonX"", ""to stretch their muscles"", ""none""]",,"[""to start a therapy session"", ""to talk to PersonY"", ""none""]",PersonX tips PersonY's head
PersonX struggles to achieve,tst,"[""failing"", ""trying too hard"", ""frustrated"", ""annoyed""]","[""Gets frustrated"", ""Gets angry"", ""none""]","[""none""]",,,"[""to make a plan"", ""to get motivated"", ""to get a job"", ""to earn money"", ""to achieve"", ""to be proud"", ""to help others"", ""enjoy success""]","[""none""]",,"[""none"", ""to get low grades"", ""to be playful"", ""to get hurt"", ""to be hungry""]",PersonX finally worked up
PersonX sees PersonY's boyfriend,tst,"[""interested"", ""excited"", ""attentive"", ""curious""]","[""walk to park"", ""to see"", ""arrange the meeting"", ""prepare the dinner""]","[""none""]",,,"[""hug someone"", ""kiss someone"", ""to say hi"", ""to tell PersonY what happened""]","[""to greet someone"", ""smile at someone"", ""to acknowledge PersonX"", ""to tell PersonY what happened as well""]",,"[""to call"", ""to invite someone over"", ""to have known PersonY's boyfriend from before"", ""to be on the lookout for things""]",PersonX sees PersonY's girlfriend
PersonX calls PersonX's ex-girlfriend.,tst,"[""motivated"", ""excited"", ""curious"", ""adventurous""]","[""reminiscences"", ""gets emotional"", ""talked to"", ""yelled at""]","[""hears the phone ring"", ""turns to the phone"", ""talked to"", ""yelled at""]","[""sorry"", ""sad"", ""nervous"", ""anxious"", ""nostalgia"", ""Embarrassed for reaching out"", ""Regretful""]","[""jealous"", ""nostalgia"", ""anxious"", ""nervous"", ""Annoyed"", ""Confused""]","[""makes out with her"", ""gave a present"", ""to plan a dating"", ""call in night times"", ""to speak the girlfriend"", ""go to dating""]","[""none"", ""getting fight in whole time"", ""stay stop from bad habit""]","[""wanted to talk"", ""ask something"", ""reconnect and become friends"", ""get closure"", ""Reconnect with this person"", ""Apologize for their actions""]","[""none"", ""plan to go outing"", ""some dating plan to some place""]",PersonX calls PersonX's best friend
PersonX enters the library,tst,"[""studious"", ""searching"", ""a reader"", ""is a scholer""]","[""turns head around"", ""lowers voice"", ""is more helpful to others"", ""becomes nice""]","[""none""]",,,"[""get some knowledge"", ""such a good value"", ""to be alone"", ""to be game""]","[""none""]",,"[""plan to go library"", ""make some study"", ""none""]",PersonX leaves the library
PersonX gives PersonY a chair to sit in,tst,"[""considerate"", ""deferential"", ""thoughtful""]","[""stand on the floor"", ""see a view point"", ""is thanked by PersonY"", ""gets tired legs""]","[""none"", ""appreciates PersonX"", ""becomes relaxed""]",,,"[""To be nice"", ""To stand"", ""to make person y comfortable"", ""to help person y""]","[""Keep sitting"", ""Enjoy"", ""none""]",,"[""none"", ""to see person y"", ""to take a chair""]",PersonX rests PersonY's chin
PersonX lies constantly,tst,"[""dishonest"", ""afraid of the truth"", ""untrustworthy"", ""deceptive""]","[""gets in trouble"", ""is punished"", ""gets called out"", ""argued with""]","[""hears a lie"", ""is left out of the loop"", ""argued with"", ""yelled at""]","[""tricky"", ""mischievous"", ""sly"", ""ashamed"", ""guilty"", ""uncaring"", ""bad"", ""happy"", ""smug"", ""noticed""]","[""mad"", ""distrusting"", ""angry"", ""disappointed"", ""untrusting"", ""convinced"", ""like their time has been wasted"", ""bad""]","[""feels great"", ""walks home"", ""repent for their sins"", ""forget about their guilt"", ""change his attitude"", ""to see psychologist to understand why he does that""]","[""none"", ""demand an apology from X"", ""cut off contact with X"", ""do not believe to what personX says"", ""do not trust personX anymore""]","[""to get their way"", ""to be deceiving"", ""to feel better"", ""no one to know them"", ""to keep their identity hidden"", ""to feel liked"", ""to decieve others"", ""to be dishonest"", ""to hide something"", ""to get someone's attention""]","[""none"", ""make egregious mistakes"", ""become friends with people who are gullible""]",PersonX cuts the crap
